keyframe,file,t_seconds,sharpness
0,kf_00000.jpg,0.0,728.9
1,kf_00001.jpg,0.8,728.9
2,kf_00002.jpg,1.41,714.6
3,kf_00003.jpg,2.21,716.0
4,kf_00004.jpg,2.81,717.4
5,kf_00005.jpg,3.21,717.2
6,kf_00006.jpg,4.22,717.5
7,kf_00007.jpg,4.62,717.0
8,kf_00008.jpg,5.02,716.2
9,kf_00009.jpg,5.63,715.2
10,kf_00010.jpg,6.24,710.8
11,kf_00011.jpg,7.04,709.6
12,kf_00012.jpg,7.44,710.9
13,kf_00013.jpg,8.24,706.2
14,kf_00014.jpg,9.05,708.5
15,kf_00015.jpg,9.65,708.5
16,kf_00016.jpg,10.06,710.3
17,kf_00017.jpg,10.46,709.2
18,kf_00018.jpg,11.47,710.4
19,kf_00019.jpg,12.06,709.7
20,kf_00020.jpg,12.67,710.8
21,kf_00021.jpg,12.88,710.6
22,kf_00022.jpg,13.87,709.0
23,kf_00023.jpg,14.08,707.1
24,kf_00024.jpg,14.69,706.0
25,kf_00025.jpg,15.28,704.8
26,kf_00026.jpg,16.29,703.0
27,kf_00027.jpg,16.89,701.1
28,kf_00028.jpg,17.5,700.0
29,kf_00029.jpg,18.09,699.2
30,kf_00030.jpg,18.3,696.2
31,kf_00031.jpg,18.91,696.0
32,kf_00032.jpg,19.71,693.2
33,kf_00033.jpg,20.11,690.1
34,kf_00034.jpg,21.12,688.2
35,kf_00035.jpg,21.52,686.6
36,kf_00036.jpg,21.92,683.6
37,kf_00037.jpg,22.53,679.2
38,kf_00038.jpg,23.13,676.4
39,kf_00039.jpg,23.73,669.2
40,kf_00040.jpg,24.33,544.6
41,kf_00041.jpg,24.94,151.7
42,kf_00042.jpg,25.95,151.3
43,kf_00043.jpg,26.14,152.1
44,kf_00044.jpg,27.15,146.5
45,kf_00045.jpg,27.55,144.2
46,kf_00046.jpg,28.37,156.1
47,kf_00047.jpg,28.96,163.6
48,kf_00048.jpg,29.17,161.0
49,kf_00049.jpg,30.17,161.8
50,kf_00050.jpg,30.77,170.1
51,kf_00051.jpg,31.37,194.7
52,kf_00052.jpg,31.58,213.0
53,kf_00053.jpg,32.59,210.6
54,kf_00054.jpg,32.99,211.2
55,kf_00055.jpg,33.39,207.1
56,kf_00056.jpg,34.4,205.4
57,kf_00057.jpg,34.59,206.6
58,kf_00058.jpg,35.41,208.4
59,kf_00059.jpg,35.8,207.1
60,kf_00060.jpg,36.4,204.9
61,kf_00061.jpg,37.01,204.0
62,kf_00062.jpg,37.81,203.8
63,kf_00063.jpg,38.22,203.1
64,kf_00064.jpg,38.81,203.1
65,kf_00065.jpg,39.63,202.2
66,kf_00066.jpg,40.22,202.1
67,kf_00067.jpg,40.83,201.3
68,kf_00068.jpg,41.23,199.3
69,kf_00069.jpg,42.03,380.6
70,kf_00070.jpg,42.45,424.5
71,kf_00071.jpg,43.44,438.6
72,kf_00072.jpg,43.84,471.3
73,kf_00073.jpg,44.25,471.1
74,kf_00074.jpg,45.05,461.7
75,kf_00075.jpg,45.45,419.0
76,kf_00076.jpg,46.46,442.8
77,kf_00077.jpg,46.86,458.3
78,kf_00078.jpg,47.66,459.8
79,kf_00079.jpg,48.27,462.3
80,kf_00080.jpg,48.88,469.2
81,kf_00081.jpg,49.28,468.4
82,kf_00082.jpg,49.89,466.0
83,kf_00083.jpg,50.48,471.9
84,kf_00084.jpg,51.09,470.4
85,kf_00085.jpg,51.49,460.7
86,kf_00086.jpg,52.5,462.4
87,kf_00087.jpg,53.1,469.4
88,kf_00088.jpg,53.69,478.3
89,kf_00089.jpg,53.9,637.0
90,kf_00090.jpg,54.91,641.3
91,kf_00091.jpg,55.31,641.2
92,kf_00092.jpg,55.92,650.4
93,kf_00093.jpg,56.51,651.0
94,kf_00094.jpg,56.93,659.2
95,kf_00095.jpg,57.52,658.0
96,kf_00096.jpg,58.53,658.9
97,kf_00097.jpg,58.73,658.9
98,kf_00098.jpg,59.33,657.2
99,kf_00099.jpg,60.14,658.2
100,kf_00100.jpg,60.74,658.4
101,kf_00101.jpg,61.15,656.0
102,kf_00102.jpg,61.95,238.8
103,kf_00103.jpg,62.35,225.9
104,kf_00104.jpg,62.96,167.1
105,kf_00105.jpg,63.76,172.0
106,kf_00106.jpg,64.56,174.5
107,kf_00107.jpg,65.17,176.3
108,kf_00108.jpg,65.57,176.2
109,kf_00109.jpg,65.97,175.0
110,kf_00110.jpg,66.78,177.5
111,kf_00111.jpg,67.58,178.8
112,kf_00112.jpg,68.19,180.2
113,kf_00113.jpg,68.59,178.7
114,kf_00114.jpg,69.18,179.1
115,kf_00115.jpg,69.6,178.2
116,kf_00116.jpg,70.4,177.7
117,kf_00117.jpg,71.2,176.6
118,kf_00118.jpg,71.81,177.0
119,kf_00119.jpg,72.21,176.8
120,kf_00120.jpg,72.61,176.3
121,kf_00121.jpg,73.61,176.7
122,kf_00122.jpg,74.02,178.4
123,kf_00123.jpg,74.62,178.2
124,kf_00124.jpg,75.03,178.5
125,kf_00125.jpg,75.82,177.0
126,kf_00126.jpg,76.64,177.2
127,kf_00127.jpg,77.04,176.6
128,kf_00128.jpg,77.44,177.1
129,kf_00129.jpg,78.45,290.9
130,kf_00130.jpg,78.64,303.9
131,kf_00131.jpg,79.65,275.7
132,kf_00132.jpg,80.05,287.5
133,kf_00133.jpg,80.45,298.9
134,kf_00134.jpg,81.26,297.6
135,kf_00135.jpg,81.66,276.0
136,kf_00136.jpg,82.67,275.8
137,kf_00137.jpg,82.86,256.7
138,kf_00138.jpg,83.47,212.4
139,kf_00139.jpg,84.27,225.5
140,kf_00140.jpg,85.09,241.6
141,kf_00141.jpg,85.68,161.8
142,kf_00142.jpg,85.89,156.3
143,kf_00143.jpg,86.5,158.4
144,kf_00144.jpg,87.09,154.2
145,kf_00145.jpg,87.69,147.6
146,kf_00146.jpg,88.3,147.1
147,kf_00147.jpg,89.1,145.4
148,kf_00148.jpg,89.9,144.5
149,kf_00149.jpg,90.11,144.1
150,kf_00150.jpg,90.91,143.6
151,kf_00151.jpg,91.31,141.4
152,kf_00152.jpg,91.92,141.7
153,kf_00153.jpg,92.53,141.1
154,kf_00154.jpg,93.54,139.2
155,kf_00155.jpg,94.13,137.0
156,kf_00156.jpg,94.33,138.0
157,kf_00157.jpg,94.94,135.4
158,kf_00158.jpg,95.94,130.3
159,kf_00159.jpg,96.15,128.7
160,kf_00160.jpg,96.75,130.3
161,kf_00161.jpg,97.76,121.8
162,kf_00162.jpg,98.35,121.2
163,kf_00163.jpg,98.56,119.9
164,kf_00164.jpg,99.36,130.3
165,kf_00165.jpg,99.76,121.6
166,kf_00166.jpg,100.77,133.3
167,kf_00167.jpg,100.98,133.7
168,kf_00168.jpg,101.98,127.9
169,kf_00169.jpg,102.18,127.6
170,kf_00170.jpg,102.78,120.8
171,kf_00171.jpg,103.58,120.8
172,kf_00172.jpg,104.19,125.6
173,kf_00173.jpg,104.59,123.8
174,kf_00174.jpg,105.39,120.6
175,kf_00175.jpg,106.21,125.9
176,kf_00176.jpg,106.8,122.2
177,kf_00177.jpg,107.41,121.5
178,kf_00178.jpg,107.81,133.0
179,kf_00179.jpg,108.21,125.9
180,kf_00180.jpg,109.02,120.3
181,kf_00181.jpg,109.62,126.6
182,kf_00182.jpg,110.02,122.1
183,kf_00183.jpg,110.83,120.7
184,kf_00184.jpg,111.43,120.2
185,kf_00185.jpg,112.03,123.0
186,kf_00186.jpg,112.83,123.9
187,kf_00187.jpg,113.04,128.6
188,kf_00188.jpg,113.84,123.6
189,kf_00189.jpg,114.66,390.7
190,kf_00190.jpg,115.25,585.1
191,kf_00191.jpg,115.46,554.5
192,kf_00192.jpg,116.46,323.1
193,kf_00193.jpg,117.06,609.5
194,kf_00194.jpg,117.66,613.2
195,kf_00195.jpg,117.87,611.4
196,kf_00196.jpg,118.88,633.0
197,kf_00197.jpg,119.28,633.9
198,kf_00198.jpg,119.87,638.2
199,kf_00199.jpg,120.29,633.6
200,kf_00200.jpg,121.28,638.1
201,kf_00201.jpg,121.49,577.6
202,kf_00202.jpg,122.49,740.6
203,kf_00203.jpg,122.69,477.9
204,kf_00204.jpg,123.3,348.6
205,kf_00205.jpg,124.3,316.6
206,kf_00206.jpg,124.71,326.8
207,kf_00207.jpg,125.5,329.2
208,kf_00208.jpg,126.11,332.9
209,kf_00209.jpg,126.72,334.6
