keyframe,file,t_seconds,sharpness
0,kf_00000.jpg,0.19,705.1
1,kf_00001.jpg,1.2,795.9
2,kf_00002.jpg,1.6,790.5
3,kf_00003.jpg,2.0,548.8
4,kf_00004.jpg,2.61,758.1
5,kf_00005.jpg,3.62,588.3
6,kf_00006.jpg,4.02,816.5
7,kf_00007.jpg,4.62,830.8
8,kf_00008.jpg,5.23,999.6
9,kf_00009.jpg,5.63,849.3
10,kf_00010.jpg,6.22,720.9
11,kf_00011.jpg,7.23,715.6
12,kf_00012.jpg,7.63,924.2
13,kf_00013.jpg,8.45,1036.5
14,kf_00014.jpg,9.05,1082.5
15,kf_00015.jpg,9.25,969.9
16,kf_00016.jpg,10.05,988.7
17,kf_00017.jpg,10.86,990.9
18,kf_00018.jpg,11.26,1190.5
19,kf_00019.jpg,11.86,1084.0
20,kf_00020.jpg,12.68,1196.3
21,kf_00021.jpg,12.86,1243.6
22,kf_00022.jpg,13.68,1338.9
23,kf_00023.jpg,14.08,852.4
24,kf_00024.jpg,14.67,907.4
25,kf_00025.jpg,15.49,1551.1
26,kf_00026.jpg,16.08,1034.2
27,kf_00027.jpg,16.9,962.7
28,kf_00028.jpg,17.09,378.9
29,kf_00029.jpg,18.1,265.0
30,kf_00030.jpg,18.7,536.6
31,kf_00031.jpg,19.11,702.6
32,kf_00032.jpg,19.91,353.1
33,kf_00033.jpg,20.11,650.5
34,kf_00034.jpg,21.12,166.3
35,kf_00035.jpg,21.52,599.0
36,kf_00036.jpg,22.32,945.9
37,kf_00037.jpg,22.53,1032.3
38,kf_00038.jpg,23.54,592.0
39,kf_00039.jpg,24.13,985.8
40,kf_00040.jpg,24.53,1008.7
41,kf_00041.jpg,24.95,891.9
42,kf_00042.jpg,25.54,642.9
43,kf_00043.jpg,26.14,451.5
44,kf_00044.jpg,27.15,467.3
45,kf_00045.jpg,27.56,471.4
46,kf_00046.jpg,28.36,461.2
47,kf_00047.jpg,28.75,465.0
48,kf_00048.jpg,29.15,443.5
49,kf_00049.jpg,29.97,384.8
50,kf_00050.jpg,30.37,361.3
51,kf_00051.jpg,31.17,321.2
52,kf_00052.jpg,31.78,320.1
53,kf_00053.jpg,32.39,317.0
54,kf_00054.jpg,32.79,307.7
55,kf_00055.jpg,33.59,335.3
56,kf_00056.jpg,33.99,351.8
57,kf_00057.jpg,34.59,340.1
58,kf_00058.jpg,35.6,327.5
59,kf_00059.jpg,36.19,363.1
60,kf_00060.jpg,36.8,441.1
61,kf_00061.jpg,37.41,460.6
62,kf_00062.jpg,38.02,500.2
