keyframe,file,t_seconds,sharpness
0,kf_00000.jpg,0.61,540.2
1,kf_00001.jpg,1.22,614.3
2,kf_00002.jpg,1.41,617.1
3,kf_00003.jpg,2.21,159.1
4,kf_00004.jpg,3.02,393.1
5,kf_00005.jpg,3.62,791.1
6,kf_00006.jpg,4.03,940.7
7,kf_00007.jpg,4.43,765.1
8,kf_00008.jpg,5.44,854.5
9,kf_00009.jpg,6.03,1034.2
10,kf_00010.jpg,6.24,866.1
11,kf_00011.jpg,7.04,937.6
12,kf_00012.jpg,7.84,759.1
13,kf_00013.jpg,8.26,969.5
14,kf_00014.jpg,9.06,1335.5
15,kf_00015.jpg,9.25,1004.7
16,kf_00016.jpg,10.26,108.9
17,kf_00017.jpg,10.66,79.4
18,kf_00018.jpg,11.07,60.1
19,kf_00019.jpg,11.87,40.2
20,kf_00020.jpg,12.48,143.1
21,kf_00021.jpg,12.88,61.7
22,kf_00022.jpg,13.47,22.5
23,kf_00023.jpg,14.48,342.5
24,kf_00024.jpg,15.09,841.2
25,kf_00025.jpg,15.7,766.9
26,kf_00026.jpg,16.29,772.3
27,kf_00027.jpg,16.5,754.2
28,kf_00028.jpg,17.51,176.4
29,kf_00029.jpg,18.11,327.0
30,kf_00030.jpg,18.52,236.8
31,kf_00031.jpg,18.91,304.5
32,kf_00032.jpg,19.71,153.4
33,kf_00033.jpg,20.32,101.0
34,kf_00034.jpg,21.12,390.9
35,kf_00035.jpg,21.33,544.3
36,kf_00036.jpg,22.34,480.4
37,kf_00037.jpg,22.53,510.1
38,kf_00038.jpg,23.54,374.4
39,kf_00039.jpg,24.14,405.4
40,kf_00040.jpg,24.34,408.5
41,kf_00041.jpg,25.35,389.5
42,kf_00042.jpg,25.74,402.2
43,kf_00043.jpg,26.14,402.0
44,kf_00044.jpg,26.75,327.9
45,kf_00045.jpg,27.36,268.7
46,kf_00046.jpg,28.37,472.4
47,kf_00047.jpg,28.56,527.6
48,kf_00048.jpg,29.57,511.5
49,kf_00049.jpg,29.78,490.1
50,kf_00050.jpg,30.37,468.2
51,kf_00051.jpg,31.38,464.9
52,kf_00052.jpg,31.58,465.3
53,kf_00053.jpg,32.39,527.3
54,kf_00054.jpg,32.99,567.0
