t_seconds,frame,keyframe,label,source,clock
1.61,2,1,hazard,arduino,15:49:31
2.05,2,1,hazard,arduino,15:49:31
2.48,3,2,hazard,arduino,15:49:32
2.93,3,2,hazard,arduino,15:49:32
